"contract","root","source_region","receiver_region","region_rule","coordinate_layer","deepest_A_s","deepest_D","deepest_call","nondeep_scoreable_count","call_flip_rate","D_sign_flip_rate","A_gate_flip_rate","D_range_scaled","scoreability_penalty","source_receiver_reliability_score","display_class","display_note"
"E_M81_NORTH_AFRICA_TO_WEST_EUROPE","E-M81","north_africa","west_europe","focused_rollup_region","focused_predeclared_contract","4.942857142857143","-1.3953939168199203","True","4","1.0","1.0","0.0","0.48431218604241794","0.0","0.4968624372084836","fragile or scale-sensitive","overlaid_on_broad_atlas_for_context"
"J_P58_ARABIA_TO_NORTH_AFRICA","J-P58","arabia","north_africa","focused_fine_region","focused_predeclared_contract","17.194915254237287","-2.648552631448948","True","4","0.25","0.25","0.0","0.8846245832346158","0.0","0.27692491664692315","fragile or scale-sensitive","overlaid_on_broad_atlas_for_context"
"O_M119_EAST_ASIA_TO_SE_ASIA","O-M119","east_asia","southeast_asia","focused_rollup_region","focused_predeclared_contract","5.509803921568627","-1.3955610174995283","True","4","1.0","1.0","0.0","0.6125636121416931","0.0","0.5225127224283386","fragile or scale-sensitive","overlaid_on_broad_atlas_for_context"
"O_M122_EAST_ASIA_TO_SE_ASIA","O-M122","east_asia","southeast_asia","focused_rollup_region","focused_predeclared_contract","6.390909090909091","-1.5563730824119977","True","4","0.75","0.75","0.0","0.5513677418520678","0.0","0.4102735483704135","fragile or scale-sensitive","overlaid_on_broad_atlas_for_context"
"PH908_EE_RUSSIA_TO_BALKAN","I-PH908","east_europe;east_europe_plus_russia","balkan","focused_rollup_region","focused_predeclared_contract","0.2140468227424749","1.3231102091485545","False","4","0.0","1.0","0.0","0.6692065748589747","0.0","0.3338413149717949","stable rejection, scale-sensitive D","overlaid_on_broad_atlas_for_context"
"R_M458_EE_RUSSIA_TO_BALKAN","R-M458","east_europe;east_europe_plus_russia","balkan","focused_rollup_region","focused_predeclared_contract","9.775","-2.2545742385502265","True","4","0.5","0.5","0.0","0.7800188242613785","0.0","0.3560037648522757","fragile or scale-sensitive","overlaid_on_broad_atlas_for_context"
"R_Z280_EE_RUSSIA_TO_BALKAN","R-Z280","east_europe;east_europe_plus_russia","balkan","focused_rollup_region","focused_predeclared_contract","8.895833333333334","-2.091958101906439","True","4","0.0","0.0","0.0","0.5694971956765426","0.0","0.1138994391353085","robust compatible","overlaid_on_broad_atlas_for_context"
