display_order,atlas_reliability_state,row_count,row_fraction_of_atlas,figure_role,source_summary_file,claim_boundary
1,Robust source-receiver compatible,118,0.047851,atlas reliability-state count used for legend and count box,tables/14_yfull_reliability_atlas_background.csv,Reliability-field summary only; not a global-origin discovery screen or population-level probability.
2,Robust source-receiver rejection,206,0.083536,atlas reliability-state count used for legend and count box,tables/14_yfull_reliability_atlas_background.csv,Reliability-field summary only; not a global-origin discovery screen or population-level probability.
3,Stable source-receiver rejection with scale-sensitive D,87,0.035280,atlas reliability-state count used for legend and count box,tables/14_yfull_reliability_atlas_background.csv,Reliability-field summary only; not a global-origin discovery screen or population-level probability.
4,Fragile or scale-sensitive,145,0.058800,atlas reliability-state count used for legend and count box,tables/14_yfull_reliability_atlas_background.csv,Reliability-field summary only; not a global-origin discovery screen or population-level probability.
5,No-call or underpowered,214,0.086780,atlas reliability-state count used for legend and count box,tables/14_yfull_reliability_atlas_background.csv,Reliability-field summary only; not a global-origin discovery screen or population-level probability.
6,Broad-root deferred,1696,0.687753,atlas reliability-state count used for legend and count box,tables/14_yfull_reliability_atlas_background.csv,Reliability-field summary only; not a global-origin discovery screen or population-level probability.
