"comparison_contract_id","lineage_root","audit_card","branch_unit_code","source_terminal_count","receiver_terminal_count","source_country_count","receiver_country_count","source_branch_count","receiver_branch_count","source_adequacy_A_s","diversity_contrast_D","branch_unit_state","decision_basis","rarefaction_median_D","rarefaction_p975_D","permutation_p","leave_one_country_min_D","leave_one_country_preserves_direction"
"O_M122_EAST_ASIA_TO_SE_ASIA","O-M122","O-M122","depth3_cutset","703","110","5","9","6","6","6.390909090909091","0.0977301431442058","Fail","A_s <= 1 or D >= 0","0.1039214076892207","0.2478016135774824","0.8852459016393442","-0.0209733222149935","false"
"O_M122_EAST_ASIA_TO_SE_ASIA","O-M122","O-M122","count_balanced_frontier","703","110","5","9","6","6","6.390909090909091","0.0977301431442058","Fail","A_s <= 1 or D >= 0","0.1053162668912532","0.2557135237463759","0.877249100359856","-0.0209733222149935","false"
"R_M458_EE_RUSSIA_TO_BALKAN","R-M458","R-M458","deepest_observed","782","80","11","10","491","54","9.775","-2.2545742385502265","Pass","","","","","",""
"R_M458_EE_RUSSIA_TO_BALKAN","R-M458","R-M458","residualized_counts","782","80","11","10","491","54","9.775","-2.2545742385502265","Pass","","","","","",""
"R_M458_EE_RUSSIA_TO_BALKAN","R-M458","R-M458","direct_child_cutset","782","80","11","10","3","3","9.775","0.0854822342339089","Fail","A_s <= 1 or D >= 0","","","","",""
"R_M458_EE_RUSSIA_TO_BALKAN","R-M458","R-M458","depth2_cutset","782","80","11","10","4","3","9.775","0.0854755918341427","Fail","A_s <= 1 or D >= 0","","","","",""
"R_M458_EE_RUSSIA_TO_BALKAN","R-M458","R-M458","depth3_cutset","782","80","11","10","5","6","9.775","-0.2483195215130858","Pass","","","","","",""
"R_M458_EE_RUSSIA_TO_BALKAN","R-M458","R-M458","count_balanced_frontier","782","80","11","10","5","6","9.775","-0.2483195215130858","Pass","","","","","",""
"R_Z280_EE_RUSSIA_TO_BALKAN","R-Z280","R-Z280","deepest_observed","1281","144","11","9","803","94","8.895833333333334","-2.091958101906439","Pass","","","","","",""
"R_Z280_EE_RUSSIA_TO_BALKAN","R-Z280","R-Z280","residualized_counts","1281","144","11","9","803","94","8.895833333333334","-2.091958101906439","Pass","","","","","",""
"R_Z280_EE_RUSSIA_TO_BALKAN","R-Z280","R-Z280","direct_child_cutset","1281","144","11","9","5","2","8.895833333333334","-0.3834665148768112","Pass","","","","","",""
"R_Z280_EE_RUSSIA_TO_BALKAN","R-Z280","R-Z280","depth2_cutset","1281","144","11","9","10","3","8.895833333333334","-0.4230594303798231","Pass","","","","","",""
"R_Z280_EE_RUSSIA_TO_BALKAN","R-Z280","R-Z280","depth3_cutset","1281","144","11","9","17","4","8.895833333333334","-0.5898506714703612","Pass","","","","","",""
"R_Z280_EE_RUSSIA_TO_BALKAN","R-Z280","R-Z280","count_balanced_frontier","1281","144","11","9","17","4","8.895833333333334","-0.5898506714703612","Pass","","","","","",""
