"evidence_layer","lineage_root","branch_resolution_rule","source_terminal_count","receiver_terminal_count","source_q2","receiver_q2","source_adequacy_A_s","diversity_contrast_D","calculation_status","claim_boundary"
"HRAS/YSEQ","I-PH908","Terminal label branch-country units","60","297","35.29411764705884","142.04347826086965","0.20202020202020202","1.3924168845119904","Recomputed values match the audited primary coordinate within rounding","Supporting branch-resolved comparison only; not independent population sampling, direct ancient-DNA evidence, exact geographic origin, ethnic identity, population continuity, or migration route."
"HRAS/YSEQ","R-Z280","Terminal label branch-country units","1228","149","658.5082969432284","79.57347670250884","8.241610738255034","-2.1132962907963346","Recomputed values match the audited primary coordinate within rounding","Supporting branch-resolved comparison only; not independent population sampling, direct ancient-DNA evidence, exact geographic origin, ethnic identity, population continuity, or migration route."
"HRAS/YSEQ","R-M458","Terminal label branch-country units","759","77","387.41156691325034","40.88965517241382","9.857142857142858","-2.2486105070443165","Recomputed values match the audited primary coordinate within rounding","Supporting branch-resolved comparison only; not independent population sampling, direct ancient-DNA evidence, exact geographic origin, ethnic identity, population continuity, or migration route."
