lineage_root,descendant_branch_label,country,parsed_terminal_count,YFull_topology_check,root_membership_check,parent_child_consistency_check,public_display_row_found,private_identifier_detected,parser_audit_status,exclusion_reason,curation_action,downstream_sensitivity_check
I-PH908,I-Y670310,Croatia (HRV),2,Failed,Failed,Not applicable,Yes,No,Failed manual parser-audit check,Topology or root-membership mismatch,Excluded because no deterministic repair was available,Headline sensitivity recomputed with this row removed
R-Z280,R-FT215309,Hungary (HUN),3,Failed,Failed,Not applicable,Yes,No,Failed manual parser-audit check,Topology or root-membership mismatch,Excluded because no deterministic repair was available,Headline sensitivity recomputed with this row removed
