comparison_contract,lineage_root,original_source_terminal_count,original_receiver_terminal_count,original_source_country_count,original_receiver_country_count,original_source_branch_unit_count,original_receiver_branch_unit_count,original_source_q2,original_receiver_q2,post_exclusion_source_terminal_count,post_exclusion_receiver_terminal_count,post_exclusion_source_country_count,post_exclusion_receiver_country_count,post_exclusion_source_branch_unit_count,post_exclusion_receiver_branch_unit_count,post_exclusion_source_q2,post_exclusion_receiver_q2
I-PH908 Eastern Europe/Russia-to-Balkans headline parser sensitivity,I-PH908,64,307,9,9,45,177,36.571429,141.727820,64,305,9,9,45,176,36.571429,140.733737
R-Z280 Eastern Europe/Russia-to-Balkans matched-comparator parser sensitivity,R-Z280,1301,152,11,9,814,99,645.784433,83.107914,1298,152,11,9,813,99,645.024502,83.107914
R-M458 Eastern Europe/Russia-to-Balkans matched-comparator parser sensitivity,R-M458,789,80,11,10,497,54,385.939864,40.000000,789,80,11,10,497,54,385.939864,40.000000
E-M81 North Africa/Maghreb-to-Western Europe supporting-comparison parser sensitivity,E-M81,348,70,7,10,221,52,175.005780,42.982456,348,70,7,10,221,52,175.005780,42.982456
J-P58 Arabia/West Asia-to-North Africa supporting-comparison parser sensitivity,J-P58,6148,358,7,6,3431,233,2620.850367,185.744928,6148,358,7,6,3431,233,2620.850367,185.744928
O-M119 East Asia-to-Southeast Asia support-only diagnostic parser sensitivity,O-M119,281,51,4,8,181,40,136.374784,33.779221,281,51,4,8,181,40,136.374784,33.779221
O-M122 East Asia-to-Southeast Asia support-only diagnostic parser sensitivity,O-M122,705,110,5,9,495,87,364.655172,76.582278,705,110,5,9,495,87,364.655172,76.582278
